id,has_question,has_answer,n_options,blank_options,validated_for_correctness
1,True,True,4,4,False
2,True,True,4,4,False
3,True,False,6,5,False
4,True,True,4,0,True
5,True,True,4,4,False
6,True,False,6,5,False
7,True,True,4,4,False
8,True,True,4,4,False
9,True,True,4,4,False
10,True,False,6,5,False
11,True,True,4,4,False
12,True,True,4,4,False
13,True,True,4,4,False
14,True,False,6,5,False
15,True,True,4,4,False
16,True,True,4,4,False
17,True,True,4,4,False
18,True,True,4,4,False
19,True,True,4,4,False
20,True,False,6,5,False
21,True,False,6,5,False
22,True,False,6,5,False
23,True,True,4,4,False
24,True,True,4,4,False
25,True,True,4,4,False
26,True,True,4,4,False
27,True,True,4,4,False
28,True,False,6,5,False
29,True,False,6,5,False
30,True,True,4,4,False
31,True,True,4,4,False
32,True,False,6,1,False
33,True,True,4,4,False
34,True,True,4,4,False
35,True,True,4,4,False
36,True,True,4,4,False
37,True,False,6,5,False
38,True,True,4,4,False
39,True,False,6,1,False
40,True,False,6,5,False
41,True,True,4,4,False
42,True,True,4,0,True
43,True,False,6,1,False
44,True,True,4,4,False
45,True,False,6,5,False
