system,session_id,question_id,question,level,trace,n_turns,tutor_turns,student_turns,parsed_turn_ratio,student_tokens,tutor_tokens,token_balance_student_share,tutor_student_token_ratio,student_math,tutor_math,total_math,vai,math_density,student_reasoning_turns,student_reasoning_rate,direct_answer_leakage,non_vietnamese_leakage,reflection_required,reflection_completed,reflection_completion,phase_valid,solve_reached,gps_complete,premature_solve,skipped_guide,skipped_practice,stall,guide_loop,practice_pressure,max_same_phase_run,n_guide,n_practice,n_solve,phase_balance_entropy,degeneracy_flag,answer_dependency_index,autonomy_process_score
Human Pilot (GPS),HUMAN_SES_49b001_HS_AN,1,1,Giỏi,G-P-S,6,3,3,0.8571428571428571,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_836afe_HS_AN,2,2,Giỏi,G-P-S,6,3,3,0.75,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_2fde01_HS_AN,3,3,Giỏi,G-P-S,6,3,3,0.75,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_98bf33_HS_AN,4,4,Giỏi,G-P-S,6,3,3,0.75,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_a2a129_HS_AN,5,5,Giỏi,G-P-S,6,3,3,0.8571428571428571,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_e05448_HS_AN,6,6,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_d6f638_HS_AN,7,7,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_58e37f_HS_AN,8,8,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_28f2b8_HS_AN,9,9,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_255be2_HS_AN,10,10,Giỏi,G-P-S,6,3,3,1.0,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_ea8f4c_HS_AN,11,11,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_45a508_HS_AN,12,12,Giỏi,G-P-S,6,3,3,1.0,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_870555_HS_AN,13,13,Giỏi,G-P-S,6,3,3,1.0,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_058aa5_HS_AN,14,14,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_86fb07_HS_AN,15,15,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_549146_HS_AN,16,16,Giỏi,G-P-S,6,3,3,0.75,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_5fd397_HS_AN,17,17,Giỏi,G-P-S,6,3,3,0.6,70,69,0.5035971223021583,0.9857142857142858,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
