system,question,n_sessions,n_levels,direct_answer_leakage_rate,phase_valid_rate,gps_complete_rate,stall_rate,vai_mean,math_density_mean,student_reasoning_rate_mean,autonomy_process_score_mean
Cross-Model Phi-3,"Cho tập hợp . Gọi  là tập hợp các số tự nhiên có 4 chữ số đôi một khác nhau được lập thành từ các chữ số của tập . Chọn ngẫu nhiên một số từ , tính xác suất để số được chọn mà trong mỗi số luôn luôn có mặt hai chữ số chẵn và hai chữ số lẻ.",2,2,0.0,1.0,0.0,1.0,0.4784615384615385,0.9741709183673469,0.6192602040816326,0.7744304356357927
Cross-Model Phi-3,"Cho tập hợp ; 1; 2; 3; 4; 5. Gọi  là tập hợp các số có 3 chữ số khác nhau được lập thành từ các chữ số của tập . Chọn ngẫu nhiên một số từ  ,tính xác suất để số được chọn có chữ số cuối gấp đôi chữ số đầu.",2,2,0.5,1.0,0.0,1.0,0.6164959285526661,0.9854925775978408,0.714574898785425,0.7077677068345227
Cross-Model Phi-3,"Cho tập hợp ; 2; 3; 4; 5. Gọi  là tập hợp tất cả các số tự nhiên có ít nhất 3 chữ số, các chữ số đôi một khác nhau được lập thành từ các chữ số thuộc tập  . Chọn ngẫu nhiên một số từ , tính xác xuất để số được chọn có tổng các chữ số bằng 10 .",2,2,0.5,1.0,0.5,1.0,0.10714285714285714,0.6875,0.6458333333333333,0.5632440476190476
Cross-Model Phi-3,"Có 13 học sinh của một trường THPT đạt danh hiệu học sinh xuất sắc trongđó khối 12 có 8 học sinh nam và 3 học sinh nữ, khối 11 có 2 học sinh nam. Chọn ngẫu nhiên 3 học sinh bất kỳ để trao thưởng, tính xác suất để 3 học sinh được chọn có cả nam và nữ đồng thời có cả khối 11 và khối 12 .",2,2,0.5,1.0,0.0,1.0,0.17857142857142858,0.25,0.6125,0.5727678571428572
Cross-Model Phi-3,"Có 20 tấm thẻ được đánh số từ 1 đến 20 . Chọn ngẫu nhiên ra 8 tấm thẻ, tính xác suất để có 3 tấm thẻ mang số lẻ, 5 tấm thẻ mang số chẵn trong đó chỉ có đúng 1 tấm thẻ mang số chia hết cho 10 .",2,2,1.0,1.0,0.0,1.0,0.22962962962962963,0.8636363636363636,0.7402597402597402,0.4924723424723425
Cross-Model Phi-3,"Có 3 bó hoa. Bó thứ nhất có 8 hoa hồng, bó thứ hai có 7 bông hoa ly, bó thứ ba có 6 bông hoa huệ. Chọn ngẫu nhiên 7 hoa từ ba bó hoa trên để cắm vào lọ hoa, tính xác suất để trong 7 hoa được chọn có số hoa hồng bằng số hoa ly.",2,2,0.5,1.0,0.0,1.0,0.4263157894736842,0.675,0.6222222222222222,0.6371345029239767
Cross-Model Phi-3,Gieo ba con súc sắc. Xác suất để số chấm xuất hiện trên ba con súc sắc như nhau là?,2,2,0.0,1.0,0.0,0.5,0.7,0.5,0.4375,0.784375
Cross-Model Phi-3,Gieo một con súc sắc hai lần. Xác suất để ít nhất một lần xuất hiện mặt sáu chấm là?,2,2,0.5,1.0,0.0,0.5,0.6911764705882353,2.2995283018867925,0.9186320754716981,0.7774521365149833
Cross-Model Phi-3,"Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn.",2,2,1.0,1.0,0.0,1.0,0.09855072463768116,0.32386363636363635,0.5681818181818181,0.4166831357048748
Cross-Model Phi-3,Gieo một con xúc xắc cân đối đồng chất 2 lần. Tính xác suất để biến cố có tổng hai mặt bằng 8.,2,2,0.0,1.0,0.0,0.5,0.8636363636363636,0.3701923076923077,0.4310897435897436,0.8236815268065268
