qid,original_json_answer,recovered_answer,answer_recovered,n_options,malformed_or_blank_options,options_need_typesetting_repair,answer_key_source,solution_snippet
1,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Số phần tử của không gian mẫu là Gọi  là biến cố ” Cả bốn lần gieo xuất hiện mặt sấp” Vậy xác suất cần tính .
2,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của không gian mẫu là Gọi  là biến cố ” Ít nhất một lần xuất hiện mặt sáu chấm” . Để tìm số phần tử của biến cố  , ta đi tìm số phần tử của biến cố đối  là ” Không xuất hiện mặt sáu chấm” Vậy xác suất cần tính ."
3,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của không gian mẫu là Gọi  là biến cố ” Số chấm trên mặt hai lần gieo có tổng bằng 8 ” . Gọi số chấm trên mặt khi gieo lần một là , số chấm trên mặt khi gieo lần hai là Theo bài ra, ta có , (3;5), (4;4), 6;2 , (5;3 , (4;4)}. Khi đó số kết quả thuận lợi của biến cố là"
4,C,C,True,4,0,False,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của không gian mẫu là Gọi  là biến cố ” Tích hai lần số chấm khi gieo xúc xắc là một số chẵn” . Ta xét các trường hợp: TH1. Gieo lần một, số chấm xuất hiện trên mặt là số lẻ thì khi gieo lần hai, số chấm xuất hiện phải là số chẵn. Khi đó có  cách gieo. TH2. Gieo lần một, số chấm xuất hiện trên mặt là số chẵn thì có hai trường hợp xảy ra là số chấm xuất hiện trên mặt khi gieo lần hai là số lẻ hoặc số chẵn. Khi đó có cách gieo. Suy ra số kết quả thuận lợi cho biến cố là Vậy xác suất cần"
5,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của không gian mẫu là Gọi  là biến cố ” Số chấm xuất hiện trên ba con súc sắc như nhau” . Ta có các trường hợp thuận lợi cho biến cố  là (1;1;1), (2;2;2), (3;3;3),   . Suy ra Vậy xác suất cần tính ."
6,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là chọn tùy ý 4 người từ 13 người. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 4 người được chọn có ít nhất 3 nữ” . Ta có hai trường hợp thuận lợi cho biến cố  như sau: ● TH1: Chọn 3 nữ và 1 nam, có  cách. ● TH2: Chọn cả 4 nữ, có  cách. Suy ra số phần tử của biến cố  là"
7,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 5 viên bi từ hộp chứa 18 viên bi. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 5 viên bi được chọn có đủ màu và số bi đỏ bằng số bi vàng” . Ta có các trường hợp thuận lợi cho biến cố  là: ● TH1: Chọn 1 bi đỏ, 1 bi vàng và 3 bi xanh nên có  cách. ● TH2: Chọn 2 bi đỏ, 2 bi vàng và 1 bi xanh nên có  cách. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
8,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 4 viên bi từ hộp chứa 12 viên bi. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 4 viên bi được chọn có số bi đỏ lớn hơn số bi vàng và nhất thiết phải có mặt bi xanh” . Ta có các trường hợp thuận lợi cho biến cố  là: ● TH1: Chọn 1 bi đỏ và 3 bi xanh nên có  cách. ● TH2: Chọn 2 bi đỏ và 2 bi xanh nên có  cách. ● TH3: Chọn 3 bi đỏ và 1 bi xanh nên có  cách. ● TH4: Chọn 2 bi đỏ, 1 bi vàng và 1 bi xanh nên có  cách. Suy ra số phần tử của biến cố  "
9,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 7 hoa từ ba bó hoa gồm 21 hoa. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 7 hoa được chọn có số hoa hồng bằng số hoa ly” . Ta có các trường hợp thuận lợi cho biến cố  là: ● TH1: Chọn 1 hoa hồng, 1 hoa ly và 5 hoa huệ nên có  cách. ● TH2: Chọn 2 hoa hồng, 2 hoa ly và 3 hoa huệ nên có  cách. ● TH3: Chọn 3 hoa hồng, 3 hoa ly và 1 hoa huệ nên có  cách. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
10,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh từ 13 học sinh. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 3 học sinh được chọn có cả nam và nữ đồng thời có cả khối 11 và khối 12 ” . Ta có các trường hợp thuận lợi cho biến cố  là: ● TH1: Chọn 1 học sinh khối 11; 1 học sinh nam khối 12 và 1 học sinh nữ khối 12 nên có  cách. ● TH2: Chọn 1 học sinh khối 11; 2 học sinh nữ khối 12 có  cách. ● TH3: Chọn 2 học sinh khối 11; 1 học sinh nữ khối 12 có  cách. Suy ra số phần tử của biến 
11,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 4 viên bi từ 22 viên bi đã cho. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Lấy được 4 viên bi trong đó có ít nhất hai viên bi cùng màu” . Để tìm số phần tử của , ta đi tìm số phần tử của biến cố  , với biến cố  là lấy được 4 viên bi trong đó không có hai viên bi nào cùng màu. Suy ra số phần tử của biến cố  là Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
12,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Vậy xác suất cần tính .
13,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Vậy xác suất cần tính .
14,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 6 viên bi từ hộp chứa 14 viên bi. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 6 viên bi được lấy ra có đủ cả ba màu” . Để tìm số phần tử của biến cố  ta đi tìm số phần tử của biến cố  tức là 6 viên bi lấy ra không có đủ ba màu như sau: ● TH1: Chọn 6 viên bi chỉ có một màu (chỉ chọn được màu vàng). Do đó trường hợp này có  cách. ● TH2: Chọn 6 viên bi có đúng hai màu xanh và đỏ, có  cách. Chọn 6 viên bi có đúng hai màu đỏ và vàng, có  cách. C"
15,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 3 viên bi từ hộp chứa 50 viên bi. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 3 viên bi được chọn là một số chia hết cho 3” . Trong 50 viên bi được chia thành ba loại gồm: 16 viên bi có số chia hết cho 3; 17 viên bi có số chia cho 3 dư 1 và 17 viên bi còn lại có số chia cho 3 dư 2. Để tìm số kết quả thuận lợi cho biến cố  , ta xét các trường hợp ● TH1: 3 viên bi được chọn cùng một loại, có  cách. ● TH2: 3 viên bi được chọn có mỗi viên mỗi l"
16,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Gọi số cần tìm của tập  có dạng  . Trong đó Khi đó ● Số cách chọn chữ số  có 5 cách chọn vì ● Số cách chọn chữ số  có 5 cách chọn vì ● Số cách chọn chữ số  có 4 cách chọn vì  và Do đó tập  có  phần tử. Không gian mẫu là chọn ngẫu nhiên 1 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn có chữ số cuối gấp đôi chữ số đầu” . Khi đó ta có các bộ số là  hoặc  thỏa mãn biến cố  và cứ mỗi bộ thì  có 4 cách chọn nên có tất cả 8 số thỏa yêu cầu. Suy ra số phần tử của bi
