id,original_json_answer,recovered_answer,answer_recovered,n_options,malformed_or_blank_options,options_need_typesetting_repair,answer_key_source,solution_snippet
1,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker",Câu 1: Gieo một đồng tiền cân đối và đồng chất bốn lần. Xác suất để cả bốn lần xuất hiện mặt sấp là? A. . B. . C. . D. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Cả bốn lần gieo xuất hiện mặt sấp” Vậy xác suất cần tính . Chọn C.
2,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 2: Gieo một con súc sắc hai lần. Xác suất để ít nhất một lần xuất hiện mặt sáu chấm là? A. . B. . C. . D. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Ít nhất một lần xuất hiện mặt sáu chấm” . Để tìm số phần tử của biến cố , ta đi tìm số phần tử của biến cố đối là ” Không xuất hiện mặt sáu chấm” Vậy xác suất cần tính . Chọn B."
3,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 3: Gieo một con xúc xắc cân đối đồng chất 2 lần. Tính xác suất để biến cố có tổng hai mặt bằng 8. A. . B. . C. . D. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Số chấm trên mặt hai lần gieo có tổng bằng 8 ” . Gọi số chấm trên mặt khi gieo lần một là , số chấm trên mặt khi gieo lần hai là Theo bài ra, ta có , (3;5), (4;4), 6;2 , (5;3 , (4;4)}. Khi đó số kết quả thuận lợi của biến cố là Vậy xác suất cần tính . Chọn A."
4,C,C,True,4,0,False,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 4: Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn. A. 0,25. B. 0,5. C. 0,75. D. 0,85. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Tích hai lần số chấm khi gieo xúc xắc là một số chẵn” . Ta xét các trường hợp: TH1. Gieo lần một, số chấm xuất hiện trên mặt là số lẻ thì khi gieo lần hai, số chấm xuất hiện phải là số chẵn. Khi đó có cách gieo. TH2. Gieo lần một, số chấm xuất hiện trên mặt là số chẵn thì"
5,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 5: Gieo ba con súc sắc. Xác suất để số chấm xuất hiện trên ba con súc sắc như nhau là? A. . B. . C. . D. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Số chấm xuất hiện trên ba con súc sắc như nhau” . Ta có các trường hợp thuận lợi cho biến cố là (1;1;1), (2;2;2), (3;3;3), . Suy ra Vậy xác suất cần tính . Chọn C."
6,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 6: Một đội gồm 5 nam và 8 nữ. Lập một nhóm gồm 4 người hát tốp ca, tính xác suất để trong 4 người được chọn có ít nhất 3 nữ. A. . B. . C. . D. Lời giải. Không gian mẫu là chọn tùy ý 4 người từ 13 người. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 4 người được chọn có ít nhất 3 nữ” . Ta có hai trường hợp thuận lợi cho biến cố như sau: ● TH1: Chọn 3 nữ và 1 nam, có cách. ● TH2: Chọn cả 4 nữ, có cách. Suy ra số phần tử của biến cố là Vậy xác suất cần tính . ChọnA."
7,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 7: Một hộp có 5 viên bi xanh, 6 viên bi đỏ và 7 viên bi vàng. Chọn ngẫu nhiên 5 viên bi trong hộp, tính xác suất để 5 viên bi được chọn có đủ màu và số bi đỏ bằng số bi vàng. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 5 viên bi từ hộp chứa 18 viên bi. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 5 viên bi được chọn có đủ màu và số bi đỏ bằng số bi vàng” . Ta có các trường hợp thuận lợi cho biến cố là: ● TH1: Chọn 1 bi đỏ, 1 bi vàng và 3 bi xanh nên có c"
8,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 8: Một hộp có 5 viên bi đỏ, 3 viên bi vàng và 4 viên bi xanh. Chọn ngẫu nhiên từ hộp 4 viên bị, tính xác suất để 4 viên bi được chọn có số bi đỏ lớn hơn số bi vàng và nhất thiết phải có mặt bi xanh. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 4 viên bi từ hộp chứa 12 viên bi. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 4 viên bi được chọn có số bi đỏ lớn hơn số bi vàng và nhất thiết phải có mặt bi xanh” . Ta có các trường hợp thuận lợi cho biến cố là: ●"
9,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 9: Có 3 bó hoa. Bó thứ nhất có 8 hoa hồng, bó thứ hai có 7 bông hoa ly, bó thứ ba có 6 bông hoa huệ. Chọn ngẫu nhiên 7 hoa từ ba bó hoa trên để cắm vào lọ hoa, tính xác suất để trong 7 hoa được chọn có số hoa hồng bằng số hoa ly. A. . B. . C. . D. . Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 7 hoa từ ba bó hoa gồm 21 hoa. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 7 hoa được chọn có số hoa hồng bằng số hoa ly” . Ta có các trường hợp thuận lợi cho biến cố là: ● TH1: Chọ"
10,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 10: Có 13 học sinh của một trường THPT đạt danh hiệu học sinh xuất sắc trongđó khối 12 có 8 học sinh nam và 3 học sinh nữ, khối 11 có 2 học sinh nam. Chọn ngẫu nhiên 3 học sinh bất kỳ để trao thưởng, tính xác suất để 3 học sinh được chọn có cả nam và nữ đồng thời có cả khối 11 và khối 12 . A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh từ 13 học sinh. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 3 học sinh được chọn có cả nam và nữ đồng thời có c"
